alg,run,f1_weighted_mean,f1_weighted_std,f1_weighted_var,fit_time,precision_weighted_mean,precision_weighted_std,precision_weighted_var,recall_weighted_mean,recall_weighted_std,recall_weighted_var,accuracy_mean,accuracy_std,accuracy_var
RandomForest,1,0.9533,0.0067,0.0000,0.0785,0.9536,0.0069,0.0000,0.9533,0.0067,0.0000,0.9533,0.0067,0.0000
SVM,1,0.9666,0.0200,0.0004,0.0004,0.9678,0.0194,0.0004,0.9667,0.0200,0.0004,0.9667,0.0200,0.0004
XGBoost,1,0.9464,0.0136,0.0002,26.6017,0.9466,0.0139,0.0002,0.9467,0.0133,0.0002,0.9467,0.0133,0.0002
Dummy,1,0.3687,0.0283,0.0008,0.0006,0.3719,0.0241,0.0006,0.3733,0.0267,0.0007,0.3733,0.0267,0.0007
RandomForest,2,0.9533,0.0067,0.0000,0.0823,0.9536,0.0069,0.0000,0.9533,0.0067,0.0000,0.9533,0.0067,0.0000
SVM,2,0.9666,0.0200,0.0004,0.0006,0.9678,0.0194,0.0004,0.9667,0.0200,0.0004,0.9667,0.0200,0.0004
XGBoost,2,0.9464,0.0136,0.0002,26.5032,0.9466,0.0139,0.0002,0.9467,0.0133,0.0002,0.9467,0.0133,0.0002
Dummy,2,0.3098,0.0568,0.0032,0.0002,0.3115,0.0585,0.0034,0.3133,0.0600,0.0036,0.3133,0.0600,0.0036
